disasterNumber,state,county,city,zipCode,validRegistrations,averageFemaInspectedDamage,totalInspected,totalDamage,noFemaInspectedDamage,femaInspectedDamageBetween1And10000,femaInspectedDamageBetween10001And20000,femaInspectedDamageBetween20001And30000,femaInspectedDamageGreaterThan30000,approvedForFemaAssistance,totalApprovedIhpAmount,repairReplaceAmount,rentalAmount,otherNeedsAmount,approvedBetween1And10000,approvedBetween10001And25000,approvedBetween25001AndMax,totalMaxGrants,id
1484,OH,Carroll (County),BOWERSTON,44695,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,f3ce438d-b5ed-4858-ba2b-8d056e19fa39
1484,OH,Carroll (County),CARROLLTON,44615,6,949.53,5,5697.17,1,4,0,0,0,2,3376.37,1983.52,0,1392.85,2,0,0,0,6a15d3ab-8248-4a0b-b7d2-1d6675dacf23
1484,OH,Carroll (County),CLEVELAND,44120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b206a276-de52-4d76-808f-6883a5020388
1484,OH,Carroll (County),DELLROY,44620,2,2941.96,2,5883.91,0,2,0,0,0,2,4369.78,4149.35,0,220.43,2,0,0,0,e292c428-ba45-480f-8d9f-d22d973a17a7
1484,OH,Carroll (County),MALVERN,44644,2,3441.74,2,6883.48,0,2,0,0,0,2,6338.5,6338.5,0,0,1,1,0,0,dc4a2978-e190-4dcf-b9f8-583e20dc9ee4
1484,OH,Carroll (County),MINERVA,44657,12,3301.4,12,39616.76,2,9,0,1,0,6,17194.81,10723.39,1816,4655.42,5,0,1,0,af6140c2-1132-4bab-9376-559121538379
1484,OH,Carroll (County),SALINEVILLE,43945,1,370.17,1,370.17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,89961af8-0740-4377-9cb0-70bde906e25d
1484,OH,Carroll (County),SHERRODSVILLE,44675,3,454.62,2,1363.86,1,1,0,0,0,1,1363.86,1228.2,0,135.66,1,0,0,0,3e087d0a-00a4-4035-8a10-1cc087095b0c
1484,OH,Columbiana (County),ALLIANCE,44601,3,2218.64,3,6655.93,0,3,0,0,0,3,6714.56,5797.71,0,916.85,2,1,0,0,deef52f9-6a00-4ae3-ad5d-b4be3d6983f8
1484,OH,Columbiana (County),BELOIT,44609,2,1147.73,2,2295.45,0,2,0,0,0,1,799.73,328.32,0,471.41,1,0,0,0,30feca2a-756a-44a5-ba0a-fd86edcc15e2
1484,OH,Columbiana (County),COLUMBIANA,44408,21,1176.81,18,24712.94,1,17,0,0,0,11,12785.69,12381.22,0,404.47,11,0,0,0,6028551e-c14b-4772-84f5-5ad69a3a226a
1484,OH,Columbiana (County),EAST LIVERPOOL,43920,79,1701.89,73,134449.31,3,70,0,0,0,52,117658.51,105326.79,3820,8511.72,39,12,1,0,1da0df84-f32b-49f3-95d0-03fd6b0f947a
1484,OH,Columbiana (County),EAST PALESTINE,44413,3,1628.01,3,4884.02,0,3,0,0,0,2,3666.71,2260.7,0,1406.01,2,0,0,0,0166db15-9f7a-4467-adc3-ec0f62b62a71
1484,OH,Columbiana (County),EAST ROCHESTER,44625,3,3144.05,3,9432.14,0,3,0,0,0,3,8735.72,6514.35,0,2221.37,2,1,0,0,defb0d76-2b8a-45c5-892b-0ce0e5540218
1484,OH,Columbiana (County),HANOVERTON,44423,33,1340.77,25,44245.4,4,21,0,0,0,15,32741.39,28901.49,1334,2505.9,14,1,0,0,69d2a770-9623-4d85-833e-90f52390420a
1484,OH,Columbiana (County),HOMEWORTH,44634,23,2150.11,21,49452.63,2,19,0,0,0,17,37267.1,34069.78,1272,1925.32,13,4,0,0,b03ec559-12b6-4836-8aeb-d3708872cfc2
1484,OH,Columbiana (County),KENSINGTON,44427,15,3239.26,14,48588.97,1,12,1,0,0,12,37844.92,29031.46,3516,5297.46,8,3,1,0,de317d99-d70f-480c-beb2-44aee6639e16
1484,OH,Columbiana (County),LEETONIA,44431,27,1191.94,21,32182.3,1,20,0,0,0,15,19072.58,15975.2,0,3097.38,15,0,0,0,60919f08-81cd-428b-853d-5f85f46376f2
1484,OH,Columbiana (County),LISBON,44432,60,1663.96,54,99837.68,4,49,1,0,0,42,81717.86,67788.02,2758,11171.84,34,8,0,0,e39c8872-a6f6-4412-83a8-acaf1754e7f5
1484,OH,Columbiana (County),MINERVA,44657,3,705.06,2,2115.18,0,2,0,0,0,1,1498.5,1278.07,0,220.43,1,0,0,0,f67224a7-10a5-4fba-8152-abf48fa50a9b
1484,OH,Columbiana (County),NEGLEY,44441,4,1094.66,3,4378.63,0,3,0,0,0,1,4505.52,1449.74,1062,1993.78,0,1,0,0,36bdb7ce-b104-4711-bde4-adcbe7bdccb6
1484,OH,Columbiana (County),NEW WATERFORD,44445,3,2411.77,3,7235.31,0,3,0,0,0,3,7968.38,4156.92,1334,2477.46,2,1,0,0,6a79ee3f-ad0f-45a7-9874-dfea22d35e94
1484,OH,Columbiana (County),ROGERS,44455,5,1696.35,4,8481.73,0,4,0,0,0,3,7701.85,5187.22,848,1666.63,2,1,0,0,637ae6e1-3693-4792-963c-fda6dd350581
1484,OH,Columbiana (County),SALEM,44460,329,1445.69,298,475632.63,15,281,2,0,0,197,315397.33,263858.36,9640,41898.97,173,23,1,0,e8b19a8b-c81a-45c7-a20a-70e5bcd42b52
