NAME,population
Pennsylvania,13002700
California,39538223
West Virginia,1793716
Utah,3271616
New York,20201249
District of Columbia,689545
Alaska,733391
Florida,21538187
South Carolina,5118425
North Dakota,779094
Maine,1362359
Georgia,10711908
Alabama,5024279
New Hampshire,1377529
Oregon,4237256
Wyoming,576851
Arizona,7151502
Louisiana,4657757
Indiana,6785528
Idaho,1839106
Connecticut,3605944
Hawaii,1455271
Illinois,12812508
Massachusetts,7029917
Texas,29145505
Montana,1084225
Nebraska,1961504
Ohio,11799448
Colorado,5773714
New Jersey,9288994
Maryland,6177224
Virginia,8631393
Vermont,643077
North Carolina,10439388
Arkansas,3011524
Washington,7705281
Kansas,2937880
Oklahoma,3959353
Wisconsin,5893718
Mississippi,2961279
Missouri,6154913
Michigan,10077331
Rhode Island,1097379
Minnesota,5706494
Iowa,3190369
New Mexico,2117522
Nevada,3104614
Delaware,989948
Puerto Rico,3285874
Kentucky,4505836
South Dakota,886667
Tennessee,6910840
