CELL_TYPE,SHAPE,MAX_SHEAR,WSR_ID,MXDV,CELL_ID,ZTIME,AZIMUTH,RANGE
TVS,POINT (-84.3227706981683 32.9141401888117),23,KATL,63,G0,2024-07-30T00:04:10Z,184,44
TVS,POINT (-84.1298245342732 32.853301250883),31,KATL,88,O9,2024-07-30T00:10:10Z,172,48
TVS,POINT (-85.1230090027307 33.5038339894682),33,KATL,89,K9,2024-07-30T00:13:00Z,259,44
TVS,POINT (-84.6277965547209 33.3395181234395),52,KATL,86,A9,2024-07-30T00:28:09Z,225,26
TVS,POINT (-84.3430601603032 32.8652303119399),24,KATL,68,B0,2024-07-30T00:31:00Z,185,47
TVS,POINT (-85.3175642016151 39.9025817505753),21,KIND,62,G0,2024-07-30T00:38:56Z,75,46
TVS,POINT (-85.2193907982873 39.4829944729545),17,KIND,55,Y1,2024-07-30T00:44:33Z,105,51
TVS,POINT (-85.2847148781938 39.8667169417581),20,KIND,60,G0,2024-07-30T00:44:33Z,78,47
TVS,POINT (-85.242261873698 39.8732816062897),25,KIND,76,G0,2024-07-30T00:50:21Z,78,49
TVS,POINT (-100.924746542899 46.2331715625721),39,KBIS,78,I6,2024-07-30T00:55:45Z,192,33
TVS,POINT (-85.2174849386228 39.8622634025859),21,KIND,65,G0,2024-07-30T00:56:09Z,79,50
TVS,POINT (-85.1873417921672 39.8212446804714),22,KIND,69,G0,2024-07-30T01:01:44Z,82,51
TVS,POINT (-85.1658819052969 39.823362407519),21,KIND,67,G0,2024-07-30T01:07:34Z,82,52
TVS,POINT (-85.2517135490438 39.8148677511236),16,KIND,49,G0,2024-07-30T01:13:11Z,82,48
TVS,POINT (-85.1658819052969 39.823362407519),21,KIND,70,G0,2024-07-30T01:13:11Z,82,52
TVS,POINT (-85.1168223425573 39.780674718814),21,KIND,72,G0,2024-07-30T01:19:12Z,85,54
TVS,POINT (-85.9737271958751 40.1415626636411),36,KIDS,83,X1,2024-07-30T01:23:31Z,35,37
TVS,POINT (-85.0362058823555 39.4629193943481),34,KCVG,86,E1,2024-07-30T01:25:58Z,328,40
TVS,POINT (-100.396369422246 46.3975488730763),40,KBIS,71,R6,2024-07-30T01:30:50Z,146,27
TVS,POINT (-85.9042515774282 40.1212730826698),51,KIDS,121,X1,2024-07-30T01:32:22Z,40,38
TVS,POINT (-84.9619774473869 39.4144166600926),16,KILN,55,K3,2024-07-30T01:32:30Z,270,53
TVS,POINT (-85.0428992668843 39.7740053926666),38,KDAY,105,U5,2024-07-30T01:33:59Z,251,45
TVS,POINT (-84.9404706627257 39.4146253565874),26,KILN,84,K3,2024-07-30T01:38:19Z,270,52
TVS,POINT (-85.0046261665526 39.7437465176513),31,KDAY,86,U5,2024-07-30T01:39:58Z,248,44
TVS,POINT (-100.104841686124 46.4022034836002),27,KBIS,60,R6,2024-07-30T01:44:07Z,129,35
TVS,POINT (-84.8970693441422 39.4004792366884),18,KILN,56,K3,2024-07-30T01:44:09Z,269,50
TVS,POINT (-100.040712634507 46.4333896708819),32,KBIS,73,R6,2024-07-30T01:48:42Z,124,36
TVS,POINT (-85.0711462487274 39.7372049589544),41,KDAY,117,U5,2024-07-30T01:48:49Z,249,47
TVS,POINT (-99.9630396131859 46.4239442565257),26,KBIS,63,R6,2024-07-30T01:53:04Z,122,39
TVS,POINT (-99.9748600807599 46.4422751322676),33,KBIS,77,R6,2024-07-30T01:53:04Z,121,38
TVS,POINT (-84.8774352936318 39.4157014380149),45,KCVG,96,E1,2024-07-30T01:55:56Z,336,34
TVS,POINT (-99.9575730397123 46.4979913426602),36,KBIS,82,V8,2024-07-30T01:57:26Z,116,37
TVS,POINT (-100.028843330974 46.5115325603021),24,KBIS,52,R6,2024-07-30T01:57:26Z,117,34
TVS,POINT (-84.7778831629007 39.7282881510349),40,KDAY,86,L6,2024-07-30T01:57:58Z,240,35
TVS,POINT (-99.878293580184 46.4965767778725),25,KBIS,62,V8,2024-07-30T02:02:02Z,114,40
TVS,POINT (-99.9660616307061 46.5243255789257),24,KBIS,54,R6,2024-07-30T02:02:02Z,114,36
TVS,POINT (-84.3543758541722 42.5586876266615),31,KDTW,90,H5,2024-07-30T02:06:56Z,306,46
TVS,POINT (-99.7613168028377 46.5691967403581),21,KBIS,55,V8,2024-07-30T02:11:15Z,106,43
TVS,POINT (-85.747477856504 40.0750440984913),39,KIND,84,Y2,2024-07-30T02:13:03Z,48,33
TVS,POINT (-83.6444390114652 42.652689051534),41,KDTW,86,N4,2024-07-30T02:24:55Z,350,33
TVS,POINT (-85.6251524113537 40.0538635653846),28,KIDS,84,A2,2024-07-30T02:32:21Z,56,45
TVS,POINT (-99.3103425281239 46.076893378079),15,KABR,50,O9,2024-07-30T02:34:47Z,315,53
TVS,POINT (-84.6983322860162 39.6429239188593),31,KCVG,88,A2,2024-07-30T02:37:54Z,353,45
TVS,POINT (-99.1940699099413 45.94386846562),29,KABR,80,C0,2024-07-30T02:44:27Z,312,44
TVS,POINT (-99.1073165183137 45.8608559088686),29,KABR,70,C0,2024-07-30T02:49:17Z,310,38
TVS,POINT (-99.0864991339663 46.1227623496047),16,KABR,49,O9,2024-07-30T02:49:17Z,325,49
TVS,POINT (-86.418603991839 38.9032119174052),29,KIDS,81,M1,2024-07-30T02:50:20Z,179,44
TVS,POINT (-86.4022128224932 38.9035437460689),29,KIDS,80,M1,2024-07-30T02:53:30Z,178,44
