CELL_TYPE,MAX_SHEAR,WSR_ID,MXDV,CELL_ID,ZTIME,AZIMUTH,RANGE,type,longitude,latitude
TVS,403,KBMX,116,Q0,2006-05-05T00:05:50Z,217,7,Point,-86.8536,33.0786
TVS,421,KBMX,120,Q0,2006-05-05T00:10:02Z,208,5,Point,-86.8166,33.0983
TVS,17,KSJT,52,P2,2006-05-05T00:12:34Z,106,49,Point,-99.5771,31.1422
TVS,25,KSJT,62,B4,2006-05-05T00:17:31Z,297,40,Point,-101.1882,31.6724
TVS,34,KMAF,111,H4,2006-05-05T00:29:13Z,333,53,Point,-102.6644,32.7307
TVS,24,KLBB,78,N0,2006-05-05T00:31:25Z,241,51,Point,-102.7005,33.238
TVS,46,KMAF,145,H4,2006-05-05T00:33:25Z,334,52,Point,-102.6394,32.7227
TVS,34,KMAF,107,H4,2006-05-05T00:37:37Z,334,50,Point,-102.6219,32.6927
TVS,29,KMAF,91,H4,2006-05-05T00:41:51Z,335,51,Point,-102.6148,32.7141
TVS,35,KLBB,100,N0,2006-05-05T00:44:33Z,245,46,Point,-102.6434,33.3266
TVS,41,KMAF,127,H4,2006-05-05T00:46:03Z,335,49,Point,-102.598,32.6839
TVS,44,KLBB,121,N0,2006-05-05T00:48:55Z,246,44,Point,-102.6139,33.3526
TVS,33,KMAF,98,H4,2006-05-05T00:50:16Z,337,49,Point,-102.5672,32.6956
TVS,42,KMAF,126,H4,2006-05-05T00:54:29Z,337,47,Point,-102.5516,32.6649
TVS,46,KLBB,117,N0,2006-05-05T00:57:42Z,251,41,Point,-102.5861,33.4287
TVS,29,KMAF,85,H4,2006-05-05T00:58:41Z,340,46,Point,-102.4996,32.6644
TVS,42,KLBB,102,N0,2006-05-05T01:02:04Z,251,39,Point,-102.5485,33.4398
TVS,35,KMAF,101,H4,2006-05-05T01:02:53Z,339,46,Point,-102.5145,32.6597
TVS,27,KMAF,84,H4,2006-05-05T01:02:53Z,338,50,Point,-102.559,32.7166
TVS,31,KLBB,70,N0,2006-05-05T01:06:26Z,251,36,Point,-102.4922,33.4565
TVS,44,KMAF,120,F5,2006-05-05T01:07:06Z,342,45,Point,-102.4635,32.6574
TVS,37,KLBB,83,N0,2006-05-05T01:10:48Z,256,36,Point,-102.5103,33.5066
TVS,39,KMAF,108,F5,2006-05-05T01:11:18Z,343,45,Point,-102.4488,32.6613
TVS,30,KMAF,78,F5,2006-05-05T01:15:30Z,344,44,Point,-102.4284,32.6491
TVS,26,KMAF,81,H4,2006-05-05T01:15:30Z,341,49,Point,-102.5042,32.7163
TVS,27,KMAF,72,J6,2006-05-05T01:23:56Z,347,43,Point,-102.3799,32.6425
TVS,82,KSJT,93,G7,2006-05-05T01:31:42Z,261,17,Point,-100.8188,31.3262
TVS,74,KSJT,94,G7,2006-05-05T01:31:42Z,265,20,Point,-100.8798,31.3413
TVS,72,KSJT,90,G7,2006-05-05T01:31:42Z,260,19,Point,-100.8561,31.3154
TVS,61,KLBB,104,N0,2006-05-05T01:32:40Z,266,27,Point,-102.3517,33.6214
TVS,53,KSJT,73,G7,2006-05-05T01:36:38Z,258,23,Point,-100.9297,31.2904
TVS,36,KMAF,91,R6,2006-05-05T01:40:44Z,356,40,Point,-102.2441,32.6093
TVS,34,KMAF,83,R6,2006-05-05T01:44:57Z,358,38,Point,-102.2152,32.5772
TVS,51,KMAF,116,W8,2006-05-05T01:58:36Z,5,36,Point,-102.1271,32.5419
TVS,40,KMAF,84,W8,2006-05-05T02:15:24Z,10,33,Point,-102.0761,32.4856
TVS,40,KMAF,81,W8,2006-05-05T02:19:38Z,17,33,Point,-101.9989,32.4698
TVS,18,KEWX,60,Y9,2006-05-05T02:20:53Z,321,53,Point,-98.6708,30.3905
TVS,42,KMAF,83,W8,2006-05-05T02:23:50Z,15,28,Point,-102.0463,32.3946
TVS,26,KEWX,85,Y9,2006-05-05T02:25:06Z,320,53,Point,-98.6845,30.3806
TVS,19,KEWX,61,Y9,2006-05-05T02:29:18Z,320,51,Point,-98.6596,30.3551
TVS,24,KEWX,74,H0,2006-05-05T02:33:30Z,291,48,Point,-98.8882,29.9886
TVS,28,KEWX,88,W0,2006-05-05T02:33:30Z,9,50,Point,-97.8771,30.5289
TVS,19,KEWX,60,Y9,2006-05-05T02:33:30Z,319,50,Point,-98.6598,30.3329
TVS,26,KEWX,82,Z9,2006-05-05T02:33:30Z,2,48,Point,-97.9957,30.5053
TVS,68,KSJT,65,D3,2006-05-05T02:35:56Z,210,15,Point,-100.6377,31.154
TVS,19,KEWX,55,S1,2006-05-05T02:37:42Z,5,47,Point,-97.949,30.4861
TVS,23,KEWX,78,S9,2006-05-05T02:37:42Z,305,53,Point,-98.8632,30.2092
TVS,20,KEWX,63,Y9,2006-05-05T02:37:42Z,319,50,Point,-98.6598,30.3329
TVS,23,KEWX,79,Z7,2006-05-05T02:37:42Z,11,52,Point,-97.8365,30.5565
TVS,41,KMAF,77,Z9,2006-05-05T02:40:38Z,34,29,Point,-101.8699,32.3441
TVS,36,KEWX,106,H0,2006-05-05T02:41:56Z,290,46,Point,-98.8575,29.9642
TVS,20,KEWX,62,I1,2006-05-05T02:41:56Z,354,49,Point,-98.1268,30.518
TVS,23,KEWX,77,I2,2006-05-05T02:41:56Z,308,53,Point,-98.8317,30.2466
TVS,22,KEWX,63,S1,2006-05-05T02:41:56Z,360,46,Point,-98.028,30.4724
TVS,30,KEWX,84,W0,2006-05-05T02:41:56Z,11,44,Point,-97.8661,30.4254
TVS,19,KEWX,64,B7,2006-05-05T02:46:08Z,345,54,Point,-98.2978,30.575
TVS,20,KEWX,67,I2,2006-05-05T02:46:08Z,308,53,Point,-98.8317,30.2466
TVS,37,KEWX,107,A2,2006-05-05T02:50:20Z,13,47,Point,-97.8241,30.4688
TVS,23,KEWX,71,I2,2006-05-05T02:50:20Z,310,49,Point,-98.7502,30.2282
TVS,25,KEWX,76,I2,2006-05-05T02:54:34Z,310,48,Point,-98.7354,30.2175
TVS,29,KDFX,72,B2,2006-05-05T02:55:18Z,116,40,Point,-99.5967,28.9783
TVS,73,KCYS,60,G3,2006-05-05T02:57:19Z,257,13,Point,-105.0853,41.1029
TVS,27,KEWX,81,I2,2006-05-05T02:58:47Z,310,46,Point,-98.7058,30.1962
TVS,559,KDYX,130,P0,2006-05-05T03:02:18Z,349,5,Point,-99.2728,32.62
TVS,48,KEWX,124,H0,2006-05-05T03:02:59Z,296,41,Point,-98.7354,30.0024
TVS,31,KEWX,82,H0,2006-05-05T03:02:59Z,294,44,Point,-98.7997,30.0007
TVS,27,KEWX,74,H0,2006-05-05T03:02:59Z,299,44,Point,-98.7672,30.0583
TVS,22,KEWX,62,I2,2006-05-05T03:02:59Z,308,43,Point,-98.6794,30.1446
TVS,23,KEWX,69,Y9,2006-05-05T03:02:59Z,313,44,Point,-98.647,30.2038
TVS,18,KEWX,58,B0,2006-05-05T03:07:12Z,28,49,Point,-97.5845,30.426
TVS,47,KEWX,120,I2,2006-05-05T03:07:12Z,293,44,Point,-98.8054,29.9889
TVS,32,KEWX,86,U4,2006-05-05T03:07:12Z,22,43,Point,-97.7176,30.3696
TVS,33,KEWX,82,I2,2006-05-05T03:11:24Z,308,39,Point,-98.6186,30.1038
TVS,18,KEWX,54,M3,2006-05-05T03:11:24Z,25,47,Point,-97.6451,30.415
TVS,25,KEWX,70,Y9,2006-05-05T03:11:24Z,310,41,Point,-98.6318,30.1429
TVS,34,KMAF,75,D2,2006-05-05T03:14:16Z,59,36,Point,-101.5825,32.2512
TVS,43,KEWX,99,I2,2006-05-05T03:15:36Z,307,37,Point,-98.5957,30.0748
TVS,26,KEWX,69,I2,2006-05-05T03:15:36Z,305,37,Point,-98.6102,30.0572
TVS,37,KGRK,68,D4,2006-05-05T03:18:45Z,211,29,Point,-97.6706,30.3065
TVS,270,KUEX,94,X5,2006-05-05T03:19:32Z,108,6,Point,-98.3177,40.29
TVS,134,KUEX,72,X5,2006-05-05T03:19:32Z,117,6,Point,-98.3256,40.2755
TVS,22,KEWX,72,B0,2006-05-05T03:19:49Z,35,50,Point,-97.4753,30.387
TVS,26,KEWX,61,I2,2006-05-05T03:19:49Z,293,36,Point,-98.6638,29.9375
TVS,279,KUEX,98,M2,2006-05-05T03:23:45Z,103,6,Point,-98.3146,40.2984
